#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2A7DF
#Date Time: 2022-04-09 22:30:52.302
#Sample rate: 800Hz
#Samples: 10301
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-163.84,-0.0006743352124811909,-0.0006553796567865895
-163.83875,-0.007938009160457624,-0.001319543970979598
-163.8375,-0.007938009160457624,-0.001319543970979598
-163.83625,-0.007938009160457624,-0.001319543970979598
-163.835,-0.007938009160457624,-0.001319543970979598
-163.83375,-0.007938009160457624,-0.001319543970979598
-163.8325,-0.007938009160457624,-0.001319543970979598
-163.83125,-0.007938009160457624,-0.001319543970979598
-163.83,-0.007938009160457624,-0.001319543970979598
-163.82875,-0.007938009160457624,-0.001319543970979598
-163.8275,-0.007938009160457624,-0.001319543970979598
-163.82625,-0.007938009160457624,-0.00131954397098443
-163.825,-0.007938009160457624,-0.00165162612807127
-163.82375,-0.007938009160457624,-0.001319543970979598
-163.8225,-0.007938009160457624,-0.001319543970979598
-163.82125,-0.007938009160457624,-0.001319543970979598
-163.82,-0.007938009160457624,-0.001319543970979598
-163.81875,-0.007938009160457624,-0.001319543970979598
-163.8175,-0.007938009160457624,-0.001319543970979598
-163.81625,-0.007938009160457624,-0.001319543970979598
-163.815,-0.007938009160457624,-0.001319543970979598
-163.81375,-0.007938009160457624,-0.001319543970979598
-163.8125,-0.007938009160457624,-0.001319543970979598
-163.81125,-0.007938009160457624,-0.001319543970979598
-163.81,-0.007938009160457624,-0.001319543970979598
-163.80875,-0.007938009160457624,-0.001319543970979598
-163.8075,2.218378055894319,8.784657406418761e-06
-163.80625,3.311560985064772,-0.001319543970979598
-163.805,3.311560985064772,-0.001319543970979598
-163.80375,3.311560985064772,-0.001319543970979598
-163.8025,3.311560985064772,-0.001319543970979598
-163.80125,3.311560985064772,-0.001319543970979598
-163.8,3.311560985064772,-0.001319543970979598
-163.79875,3.311560985064772,-0.001319543970979598
-163.7975,3.311560985064772,-0.001319543970979598
-163.79625,3.311560985064772,-0.001319543970979598
-163.795,3.311560985064772,-0.001319543970979598
-163.79375,3.311560985064772,-0.001319543970979598
-163.7925,3.311560985064772,-0.001319543970979598
-163.79125,3.311560985064772,-0.001319543970979598
-163.79,3.311560985064772,-0.001319543970979598
-163.78875,3.311560985064772,-0.001319543970979598
-163.7875,3.311560985064772,-0.001319543970979598
-163.78625,3.311560985064772,-0.001319543970979598
-163.785,3.311560985064772,-0.001319543970979598
-163.78375,3.311560985064772,-0.001319543970979598
-163.7825,3.31519282203876,-0.001319543970979598
-163.78125,3.311560985064772,-0.001319543970979598
-163.78,3.311560985064772,-0.001319543970979598
-163.77875,3.311560985064772,-0.001319543970979598
-163.7775,3.311560985064772,-0.001319543970979598
-163.77625,3.311560985064772,-0.001319543970979598
-163.775,3.311560985064772,-0.001319543970979598
-163.77375,3.311560985064772,-0.001319543970979598
-163.7725,3.311560985064772,-0.001319543970979598
-163.77125,3.311560985064772,-0.001319543970979598
-163.77,3.311560985064772,-0.001319543970979598
-163.76875,3.311560985064772,-0.001319543970979598
-163.7675,3.311560985064772,-0.001319543970979598
-163.76625,3.315192822038707,-0.001319543970979598
-163.765,3.315192822038707,-0.001319543970979598
-163.76375,3.311560985064772,-0.001319543970979598
-163.7625,3.311560985064772,-0.001319543970979598
-163.76125,3.311560985064772,-0.001319543970979598
-163.76,3.311560985064772,-0.001319543970979598
-163.75875,3.311560985064772,-0.001319543970979598
-163.7575,3.311560985064772,-0.001319543970979598
-163.75625,3.311560985064772,-0.001319543970979598
-163.755,3.311560985064772,-0.001319543970979598
-163.75375,3.311560985064772,-0.001319543970979598
-163.7525,3.311560985064772,-0.001319543970979598
-163.75125,3.311560985064772,-0.001319543970979598
-163.75,3.311560985064772,-0.001319543970979598
-163.74875,3.311560985064772,-0.001319543970979598
-163.7475,3.311560985064772,-0.001319543970979598
-163.74625,3.311560985064772,-0.001319543970979598
-163.745,3.311560985064772,-0.001319543970979598
-163.74375,3.311560985064772,-0.001319543970979598
-163.7425,3.311560985064772,-0.001319543970979598
-163.74125,3.311560985064772,-0.001319543970979598
-163.74,3.311560985064772,-0.001319543970979598
-163.73875,3.311560985064772,-0.001319543970979598
-163.7375,3.311560985064772,-0.001319543970979598
-163.73625,3.311560985064772,-0.001319543970979598
-163.735,3.311560985064772,-0.001319543970979598
-163.73375,3.311560985064772,-0.001319543970979598
-163.7325,3.311560985064772,-0.001319543970979598
-163.73125,3.311560985064772,-0.001319543970979598
-163.73,3.311560985064772,-0.001319543970979598
-163.72875,3.311560985064772,-0.001319543970979598
-163.7275,3.311560985064772,-0.001319543970979598
-163.72625,3.311560985064772,-0.001319543970979598
-163.725,3.311560985064772,-0.001319543970979598
-163.72375,3.311560985064772,-0.001319543970979598
-163.7225,3.311560985064772,-0.001319543970979598
-163.72125,3.311560985064772,-0.001319543970979598
-163.72,3.311560985064772,-0.001319543970979598
-163.71875,3.311560985064772,-0.001319543970979598
-163.7175,3.311560985064772,-0.001319543970979598
-163.71625,3.31519282203876,-0.001319543970979598
-163.715,3.311560985064772,-0.001319543970979598
-163.71375,3.31519282203876,-0.001319543970979598
-163.7125,3.31519282203876,-0.001319543970979598
-163.71125,3.311560985064772,-0.001319543970979598
